Cell;longitude;latitude;ACT_CAC_61.2;ACT_CAC_66.0;ACT_CAC_78.7;ACT_CAC_83.7;ACT_CAC_92.2;ACT_CAC_103.1;ACT_CAC_104.3;ACT_CAC_106.9;ACT_CAC_110.8;ACT_CAC_124.1;ACT_CAC_128.4;ACT_CAC_139.5;ACT_CAC_152.9;ACT_CAC_153.9;ACT_CAC_167.8;ACT_CAC_175.3;ACT_CAC_176.4;ACT_CAC_181.6;ACT_CAC_184.7;ACT_CAC_195.4;ACT_CAC_218.4;ACT_CAC_255.1;ACT_CAC_259.4;ACT_CAC_286.5;ACT_CAC_304.4;ACT_CAC_320.8;ACT_CAC_335.0;ACT_CAC_336.4;ACT_CAC_357.1;ACT_CAC_358.5;ACT_CAC_361.5;ATC_CAC_60.7;ATC_CAC_65.6;ATC_CAC_68.0;ATC_CAC_72.1;ATC_CAC_75.3;ATC_CAC_76.5;ATC_CAC_80.6;ATC_CAC_86.9;ATC_CAC_88.4;ATC_CAC_89.7;ATC_CAC_91.2;ATC_CAC_99.2;ATC_CAC_100.0;ATC_CAC_101.9;ATC_CAC_102.9;ATC_CAC_104.5;ATC_CAC_105.5;ATC_CAC_112.1;ATC_CAC_113.0;ATC_CAC_114.8;ATC_CAC_116.8;ATC_CAC_123.3;ATC_CAC_136.0;ATC_CAC_144.5;ATC_CAC_151.7;ATC_CAC_154.4;ATC_CAC_156.2;ATC_CAC_166.8;ATC_CAC_171.2;ATC_CAC_177.8;ATC_CAC_187.1;ATC_CAC_188.1;ATC_CAC_189.1;ATC_CAC_192.5;ATC_CAC_205.2;ATC_CAC_212.8;ATC_CAC_221.4;ATC_CAC_223.4;ATC_CAC_225.9;ATC_CAC_231.0;ATC_CAC_240.1;ATC_CAC_240.6;ATC_CAC_241.4;ATC_CAC_248.4;ATC_CAC_268.2;ATC_CAC_275.9;ATC_CAC_282.3;ATC_CAC_302.0;ATC_CAC_309.5;ATC_CAC_333.5;ATC_CAC_335.8;ATC_CAC_344.8;ATC_CAC_356.3;ATC_CAC_362.7;ATG_CTG_58.2;ATG_CTG_63.6;ATG_CTG_64.7;ATG_CTG_71.3;ATG_CTG_73.8;ATG_CTG_78.3;ATG_CTG_79.8;ATG_CTG_81.3;ATG_CTG_86.8;ATG_CTG_91.8;ATG_CTG_92.8;ATG_CTG_95.3;ATG_CTG_96.2;ATG_CTG_98.8;ATG_CTG_100.1;ATG_CTG_105.7;ATG_CTG_113.4;ATG_CTG_114.4;ATG_CTG_124.0;ATG_CTG_128.7;ATG_CTG_133.1;ATG_CTG_134.7;ATG_CTG_140.8;ATG_CTG_143.0;ATG_CTG_145.2;ATG_CTG_147.3;ATG_CTG_148.3;ATG_CTG_150.6;ATG_CTG_153.7;ATG_CTG_154.8;ATG_CTG_161.0;ATG_CTG_167.6;ATG_CTG_168.6;ATG_CTG_174.3;ATG_CTG_175.5;ATG_CTG_183.1;ATG_CTG_185.5;ATG_CTG_188.7;ATG_CTG_192.1;ATG_CTG_194.7;ATG_CTG_199.5;ATG_CTG_200.8;ATG_CTG_215.1;ATG_CTG_233.7;ATG_CTG_236.7;ATG_CTG_237.8;ATG_CTG_244.7;ATG_CTG_250.4;ATG_CTG_254.6;ATG_CTG_256.3;ATG_CTG_258.2;ATG_CTG_281.0;ATG_CTG_282.0;ATG_CTG_305.5;ATG_CTG_310.7;ATG_CTG_319.1;ATG_CTG_344.0;ATG_CTG_358.2;ATG_CTG_369.4;ATG_CTG_458.8;ATG_CTG_465.6;ATG_CTG_489.1;ATG_CTG_497.3
E35-3;15.8103;47.7651;0;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;0;1;1;0;0;1;1;0;1;1;1;1;0;1;1;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;0;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;1;1;0;1;1;0;1;0;1;1;0;0;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;0;1;0;1;1;0;0;1;1;0;1;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;1;1;1;1;0;1
E35-4;15.8103;47.7651;0;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;0;1;1;0;0;1;1;0;1;1;1;1;0;1;1;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;1;0;0;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;1;1;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;0;1;1;0;0;1;1;0;1;1;0;1;1;0;0;1;0;1;1;0;1;1;0;1;1;1;1;0;0;1
F20-1;10.7495;47.5374;0;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;1;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;1;1;0;1;0;0;1;0;1;1;1;1;1;0;1
F20-3;10.7495;47.5374;0;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;1;1;0;0;1;0;1;0;1;1;0;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;1;1;0;1;0;0;1;0;1;1;1;1;1;0;1
F20-4;10.7495;47.5374;0;0;0;0;1;0;1;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;1;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;1;1;0;1;0;0;1;0;1;1;1;1;1;0;1
F26-1;12.961;47.4837;0;1;0;0;1;0;1;1;1;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;1;1;0;1;1;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;1;0;0;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;1;0;1;0;0;1;1;0;1;1;0;0;1;0;0;1;1;1;1;0;0;1;0;1;1;0;1;0;1;1
F26-3;12.961;47.4837;0;1;0;0;1;0;1;1;1;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;1;0;1;0;0;0;1;0;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;0;1;1;0;0;1;1;0;1;1;0;1;1;0;0;1;0;1;1;0;1;1;0;1;1;1;1;0;1;1
F26-4;12.961;47.4837;0;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;1;0;1;0;1;0;0;0;1;1;0;1;1;0;0;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;0;1;1;0;0;1;1;0;1;1;0;1;1;0;0;1;0;1;1;0;1;1;0;1;1;1;1;0;0;1
F30-1;14.01732;47.5214;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;0;0;1;0;1;1;0;1;0;1;1;0;0;0;1;0;1;0;1;0;0;0;1;1;0;1;1;0;0;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;1;1;0;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;0;1;1;0;0;1;1;0;1;1;0;1;1;0;0;1;0;1;1;0;1;1;0;1;1;1;1;0;0;1
F30-2;14.01732;47.5214;0;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;0;1;0;1;1;0;1;1;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;1;0;1;1;1;0;0;0;1;1;0;1;1;0;0;1;0;1;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;0;1;0;1;1;0;0;1;1;0;1;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;1;1;1;0;0;1
F30-4;14.01732;47.5214;1;1;0;0;0;0;1;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;1;0;1;1;0;1;0;1;1;0;0;0;1;0;1;1;1;0;0;0;1;1;0;1;1;0;0;1;0;1;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;0;1;1;0;0;0;1;1;0;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;0;1;1;0;0;1;1;0;1;1;0;1;1;0;0;1;0;1;0;1;0;1;0;1;1;1;1;0;0;1
G15-1;9.3297;47.2464;0;0;0;0;1;0;1;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;0;1;0;1;1;0;1;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;0;1;0;1;1;0;1;1;1;0;0;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;1;1;0;1;1;0;1;1;0;0;1;0;1;0;1;1;1;0;0;1;1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;0;1;1;0;0;0;1;0;1;1;0;1;1;0;0;1;0;1;1;1;0;1;0;1;0;1;1;0;0;1
G15-3;9.3297;47.2464;0;0;0;0;1;0;1;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;1;1;0;1;0;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;1;0;1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0;1;1;1;1;0;1;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;0;1;1;0;0;0;1;0;1;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;0;0;1;0;0;1
G15-4;9.3297;47.2464;0;0;0;0;1;0;1;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;1;1;0;1;0;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;1;0;1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0;1;1;1;1;0;1;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;0;1;1;0;0;0;1;0;1;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;0;0;1;0;0;1
G17-1;9.8796;47.2655;0;0;0;0;1;0;1;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;0;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;0;1;1;0;1;0;1;1;1;1;0;1;0;1;1;0;0;1;0;1;0;1;1;0;0;0;1;1;1;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;0;1;1;1;0;1
G17-2;9.8796;47.2655;0;0;0;0;1;0;1;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;0;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;1;1;1;0;1;1;0;1;0;1;1;1;1;0;1;0;1;1;0;0;1;0;1;0;1;1;1;1;0;1;1;1;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;0;1;1;1;0;1
G17-4;9.8796;47.2655;0;0;0;0;1;0;1;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;0;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;1;1;0;0;0;0;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;1;1;1;0;1;1;0;1;0;1;1;1;1;0;1;0;1;1;0;0;1;0;1;0;1;1;1;1;0;1;1;1;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;0;1;1;1;0;1
G19-1;10.5611;47.2538;0;0;1;0;1;0;1;1;1;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;1;1;0;1;1;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;1;1;1;0;1;1;0;0;1;1;0;1;0;0;0;1;0;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0;1;0;1;1;0;0;0;1;0;1;1;1;0;1;0;1;0;1;1;1;0;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;0;1;1;0;0;1;1;0;1;1;0;1;1;0;0;1;0;1;1;1;0;1;0;1;1;1;1;0;0;1
G19-3;10.5611;47.2538;0;0;1;0;1;0;1;1;1;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;1;0;1;1;0;1;1;0;0;1;1;0;1;0;0;0;1;0;1;1;0;1;1;0;0;0;1;1;0;0;1;1;1;1;0;0;1;0;0;0;1;0;1;1;1;0;1;0;1;0;1;1;1;0;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;0;1;1;0;0;0;1;0;1;1;0;1;1;0;0;1;0;1;1;1;0;1;0;1;1;1;1;0;0;1
G19-4;10.5611;47.2538;0;0;0;0;1;0;1;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;1;0;1;1;0;1;1;0;0;1;1;0;1;0;0;0;1;0;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;1;1;1;0;1;0;1;0;1;1;1;0;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;0;1;1;0;0;0;1;0;1;1;0;1;1;0;0;1;0;1;1;1;0;1;0;1;1;1;1;0;0;1
G21-1;11.0462;47.3547;0;1;0;0;1;0;1;1;1;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;1;0;0;1;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;1;0;1;0;1;1;0;1;1;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;1;1;1;1;0;1;1;0;1;0;1;1;0;0;1
G21-3;11.0462;47.3547;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;1;1;0;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;1;1;1;1;0;0;1;0;1;0;1;1;1;0;1
G21-4;11.0462;47.3547;0;0;0;0;1;0;1;1;1;1;0;0;1;0;1;1;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1;0;1;1;1;1;1;1;1;0;1;1;0;0;0;1;0;1;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;1;0;1;1;0;0;0;1;0;1;1;0;1;1;0;0;0;1;1;0;1;0;1;1;1;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;1;0;0;1;0;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;1
