    prob  log10(PO)   qval  alpha  fst
46  0.0000 -1000.0 0.73142 0.0000 0.13037 
47  0.22222 -0.54407 0.40917 -0.21734 0.11635 
48  0.22222 -0.54407 0.40917 0.081476 0.13800 
49  0.22222 -0.54407 0.40917 0.080359 0.13770 
50  0.11111 -0.90309 0.56392 -0.032821 0.12755 
51  0.0000 -1000.0 0.73142 0.0000 0.13037 
52  0.0000 -1000.0 0.73142 0.0000 0.13037 
53  0.0000 -1000.0 0.73142 0.0000 0.13037 
54  1.0000 1000.0 0.0000 -0.23197 0.11495 
55  0.33333 -0.30103 0.30385 0.055026 0.13508 
56  1.0000 1000.0 0.0000 -0.027870 0.12867 
57  1.0000 1000.0 0.0000 2.7569 0.47827 
58  0.11111 -0.90309 0.56392 0.035227 0.13337 
59  0.11111 -0.90309 0.56392 0.063654 0.13607 
60  0.11111 -0.90309 0.56392 0.082819 0.13729 
61  0.0000 -1000.0 0.73142 0.0000 0.13037 
62  0.0000 -1000.0 0.73142 0.0000 0.13037 
63  0.55556 0.096910 0.14583 0.78988 0.21669 
64  0.44444 -0.096910 0.24339 0.54579 0.19425 
65  0.0000 -1000.0 0.73142 0.0000 0.13037 
66  0.11111 -0.90309 0.56392 0.056716 0.13639 
67  0.11111 -0.90309 0.56392 0.0057355 0.13091 
68  0.33333 -0.30103 0.30385 0.32703 0.16296 
69  0.0000 -1000.0 0.73142 0.0000 0.13037 
70  0.0000 -1000.0 0.73142 0.0000 0.13037 
71  0.11111 -0.90309 0.56392 0.0087026 0.13104 
72  0.22222 -0.54407 0.40917 0.31727 0.16486 
73  0.0000 -1000.0 0.73142 0.0000 0.13037 
74  0.0000 -1000.0 0.73142 0.0000 0.13037 
75  0.0000 -1000.0 0.73142 0.0000 0.13037 
76  0.22222 -0.54407 0.40917 0.19139 0.14904 
77  0.0000 -1000.0 0.73142 0.0000 0.13037 
78  1.0000 1000.0 0.0000 2.7388 0.48139 
79  1.0000 1000.0 0.0000 2.2554 0.40935 
80  0.11111 -0.90309 0.56392 0.092969 0.14076 
81  0.0000 -1000.0 0.73142 0.0000 0.13037 
82  0.0000 -1000.0 0.73142 0.0000 0.13037 
83  0.55556 0.096910 0.14583 0.53871 0.18203 
84  0.11111 -0.90309 0.56392 -0.11575 0.12274 
85  1.0000 1000.0 0.0000 2.7498 0.48183 
86  1.0000 1000.0 0.0000 1.6956 0.33069 
87  0.0000 -1000.0 0.73142 0.0000 0.13037 
88  0.77778 0.54407 0.060185 0.92532 0.22751 
89  0.33333 -0.30103 0.30385 -0.049069 0.12777 
90  1.0000 1000.0 0.0000 3.9001 0.63603 
91  0.88889 0.90309 0.027778 1.0307 0.24286 
92  0.11111 -0.90309 0.56392 0.12421 0.14248 
93  0.44444 -0.096910 0.24339  -nan nan 
94  1.0000 1000.0 0.0000 2.1201 0.38825 
95  0.0000 -1000.0 0.73142 0.0000 0.13037 
96  0.11111 -0.90309 0.56392 -0.040172 0.12742 
97  0.11111 -0.90309 0.56392 0.14489 0.14336 
98  0.0000 -1000.0 0.73142 0.0000 0.13037 
99  0.33333 -0.30103 0.30385 0.18401 0.14618 
100  0.0000 -1000.0 0.73142 0.0000 0.13037 
101  0.0000 -1000.0 0.73142 0.0000 0.13037 
102  0.0000 -1000.0 0.73142 0.0000 0.13037 
103  0.0000 -1000.0 0.73142 0.0000 0.13037 
104  0.44444 -0.096910 0.24339  -nan nan 
105  0.0000 -1000.0 0.73142 0.0000 0.13037 
106  1.0000 1000.0 0.0000 1.5513 0.31288 
107  0.0000 -1000.0 0.73142 0.0000 0.13037 
108  0.0000 -1000.0 0.73142 0.0000 0.13037 
109  0.22222 -0.54407 0.40917 0.11412 0.14084 
110  0.0000 -1000.0 0.73142 0.0000 0.13037 
111  0.0000 -1000.0 0.73142 0.0000 0.13037 
112  0.44444 -0.096910 0.24339 -0.32578 0.11558 
113  0.44444 -0.096910 0.24339 0.64276 0.20256 
114  0.22222 -0.54407 0.40917 -0.0046255 0.13008 
115  0.0000 -1000.0 0.73142 0.0000 0.13037 
116  0.44444 -0.096910 0.24339 0.039113 0.13378 
117  0.11111 -0.90309 0.56392 -0.064041 0.12532 
118  0.0000 -1000.0 0.73142 0.0000 0.13037 
119  0.0000 -1000.0 0.73142 0.0000 0.13037 
120  0.0000 -1000.0 0.73142 0.0000 0.13037 
121  0.0000 -1000.0 0.73142 0.0000 0.13037 
122  0.11111 -0.90309 0.56392 0.035539 0.13340 
123  0.66667 0.30103 0.090535 0.84078 0.21815 
124  1.0000 1000.0 0.0000 1.5159 0.30469 
125  0.33333 -0.30103 0.30385 0.30054 0.16041 
126  0.55556 0.096910 0.14583 0.46825 0.17715 
127  0.0000 -1000.0 0.73142 0.0000 0.13037 
128  0.11111 -0.90309 0.56392 -0.048157 0.12702 
129  0.0000 -1000.0 0.73142 0.0000 0.13037 
130  0.0000 -1000.0 0.73142 0.0000 0.13037 
131  0.55556 0.096910 0.14583 0.48645 0.18115 
132  0.0000 -1000.0 0.73142 0.0000 0.13037 
133  0.66667 0.30103 0.090535 1.1348 0.25653 
134  0.0000 -1000.0 0.73142 0.0000 0.13037 
135  0.0000 -1000.0 0.73142 0.0000 0.13037 
136  0.0000 -1000.0 0.73142 0.0000 0.13037 
137  0.11111 -0.90309 0.56392 0.033225 0.13301 
138  0.22222 -0.54407 0.40917 0.18271 0.14726 
139  0.11111 -0.90309 0.56392 0.046167 0.13439 
140  0.0000 -1000.0 0.73142 0.0000 0.13037 
141  1.0000 1000.0 0.0000 2.3319 0.42013 
142  0.0000 -1000.0 0.73142 0.0000 0.13037 
143  0.0000 -1000.0 0.73142 0.0000 0.13037 
144  0.44444 -0.096910 0.24339 0.30729 0.16124 
145  0.0000 -1000.0 0.73142 0.0000 0.13037 
146  0.0000 -1000.0 0.73142 0.0000 0.13037 
147  0.11111 -0.90309 0.56392 -0.0019263 0.13022 
148  0.88889 0.90309 0.027778 1.3599 0.28548 
149  0.88889 0.90309 0.027778 0.87115 0.22489 
150  0.33333 -0.30103 0.30385 0.18385 0.14569 
151  0.11111 -0.90309 0.56392 -0.073621 0.12470 
