Cell;longitude;latitude;AAT_ACA_65.4;AAT_ACA_119.6;AAT_ACA_140.1;AAT_ACA_143.0;AAT_ACA_146.3;AAT_ACA_177.0;AAT_ACA_182.2;AAT_ACA_193.7;AAT_ACA_194.9;AAT_ACA_199.1;AAT_ACA_214.5;AAT_ACA_217.6;AAT_ACA_237.9;AAT_ACA_283.7;AAT_ACA_285.5;AAT_ACA_286.6;AAT_ACA_364.5;AAT_ACA_402.7;AAT_ACC_67.0;AAT_ACC_79.4;AAT_ACC_80.9;AAT_ACC_92.3;AAT_ACC_126.7;AAT_ACC_132.2;AAT_ACC_159.7;AAT_ACC_160.8;AAT_ACC_165.2;AAT_ACC_172.7;AAT_ACC_190.1;AAT_ACC_206.4;AAT_ACC_241.0;AAT_ACC_243.0;AAT_ACC_303.1;AAT_ACC_387.7;AAT_ACC_483.9;AAT_ACC_497.3;AAT_ACC_500.5;AAT_AGT_109.5;AAT_AGT_240.8;AAT_AGT_244.9;AAT_AGT_263.3;AAT_AGT_270.6;AAT_AGT_349.1;AAT_AGT_356.5;AAT_AGT_358.5;AAT_AGT_371.1;AAT_CTG_53.5;AAT_CTG_77.7;AAT_CTG_79.0;AAT_CTG_118.8;AAT_CTG_131.0;AAT_CTG_174.5;AAT_CTG_246.1;AAT_CTG_251.4;AAT_CTG_268.3;AAT_CTG_393.6;AAT_CTG_396.5;ACT_ACG_160.6;ACT_ACG_171.3;ACT_ACG_173.4;ACT_ACG_175.4;ACT_ACG_177.5;ACT_ACG_205.2;ACT_ACG_220.4;ACT_ACG_241.0;ACT_ACG_245.0;ACT_ACG_253.2;ACT_ACG_255.1;ACT_ACG_257.2;ACT_ACG_331.2;ACT_ACG_338.8;ACT_CTG_73.7;ACT_CTG_84.3;ACT_CTG_99.6;ACT_CTG_151.3;ACT_CTG_251.8;ACT_CTG_271.4;ACT_CTG_312.5;ACT_CTG_332.5;ACT_CTG_345.4;ACT_CTG_422.6;ATG_CAC_48.3;ATG_CAC_112.6;ATG_CAC_117.7;ATG_CAC_155.1;ATG_CAC_176.7;ATG_CAC_178.5;ATG_CAC_187.7;ATG_CAC_207.5;ATG_CAC_214.1;ATG_CAC_237.8;ATG_CAC_250.5;ATG_CAC_262.4;ATG_CAC_285.3;ATG_CAC_320.0;ATG_CAC_352.4;ATG_CAC_385.8;ATG_CAC_442.4;ATG_CAC_444.3;ATG_CAC_454.4;ATG_CAC_467.8
F62-2;24.877;47.5283;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;1;1;1;1;1;0;1;0;1;1;0;0;1;1;0;1;1;0;1;0;1;0;1;1;0;1;0;0;1;0;1;1;1;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;0;0;1;0;1;1;1;0;0;1;1;1;1;1;0;0;1;0;0;0;0;1;1;0;0
F62-4;24.877;47.5283;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;1;1;1;1;0;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;0;0;1;0;1;1;0;0;1;0;0;0;1;1;1;0;1;1;0;1;0;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;0;1
O62-1;24.7927;45.6027;1;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;1;0;1;1;1;1;1;1;1;0;0;1;1;0;1;0;0;1;0;0;1;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1;1;1;0;0;1;0;1;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;0;1;0;0;0
O62-2;24.7927;45.6027;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;1;1;0;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;1;1;0;1;1;0;1;1;1;0;1;1;0;0;0;1;1;0;0;0
O62-4;24.7927;45.6027;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1;1;1;1;1;1;0;1;0;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1;0;1;0;1;0;0;0;0;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;1;1;1;0;1;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
P59-1;23.8075;45.5319;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1;0;0;1;0;0;0;1;1;1;1;1;1;1;1;0;0;1;0;0;1;0;1;0;0;1;0;1;1;0;1;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;0
P59-2;23.8075;45.5319;0;1;0;0;1;0;0;1;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;1;1;1;1;1;0;0;0;1;1;1;0;0;1;1;0;0;1;1;1;1;0;1;0;1;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;1;1;0;1;1;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;0;1;0;0
P59-4;23.8075;45.5319;0;1;0;0;1;1;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;1;1;1;1;1;0;0;0;1;1;1;0;0;1;0;0;0;1;1;1;1;1;1;0;1;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;1;0;1;1;0;1;1;1;0;0;1;0;0;0;0
P61-1;24.5944;45.5947;0;1;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;1;0;0;0;1;0;1;1;0;0;1;0;0;1;1;1;1;0;1;0;0;0;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;1;1;0;1;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;0
P61-2;24.5944;45.5947;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;1;0;1;0;1;0;1;1;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;1;1;0;0;1;0;1;0;0;0
P61-4;24.5944;45.5947;1;1;0;0;1;1;0;1;0;1;0;1;1;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;1;1;1;1;1;0;1;1;0;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;0;1;0;0;1;0;0;0;1;1;1;1;1;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;0;0;1;0;0;0
P62-1;24.9616;45.458;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;0;0;0;1;1;1;1;1;1;0;1;0;0;1;0;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0
P62-2;24.9616;45.458;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;0;0;1;0;1;0;1;1;0;1;0;0;0;1;1;1;1;1;1;0;1;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1;1;0;1;1;0;0;0;0;0
P62-4;24.9616;45.458;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;0;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;0;1;0;0;0;0
P64-1;25.4755;45.4072;0;0;0;0;1;1;0;1;1;1;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;0;0;1;1;1;1;1;0;1;0;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0
P64-2;25.4755;45.4072;0;1;0;0;1;1;0;1;1;1;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;1;1;1;1;0;1;0;1;0;0;0;1;0;1;1;0;0;0;1;1;1;1;1;0;1;0;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0
P64-4;25.4755;45.4072;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;1;1;1;0;1;0;1;0;0;0;1;1;1;1;1;1;0;1;0;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;1;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0
P65-1;25.9752;45.4926;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;1;1;1;0;1;1;0;0;1;1;0;1;0;1;1;0;0;0;1;1;1;1;1;0;1;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0
P65-2;25.9752;45.4926;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;1;1;1;0;1;1;0;0;1;1;0;1;0;1;1;0;0;0;1;1;1;1;1;0;1;0;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0
P65-4;25.9752;45.4926;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;1;1;1;0;1;1;0;1;1;1;0;1;0;1;0;0;0;0;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;1;1;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0
Q55-1;22.5838;45.2699;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;0;1;1;1;0;1;0;0;1;1;0;0;0;1;1;0;0;1;1;1;1;1;1;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;1;1;0;1;1;0;1;0;1;1;0;0;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0
Q55-2;22.5838;45.2699;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;1;1;0;1;0;1;0;0;0;1;1;1;1;1;1;0;1;0;0;1;0;1;1;1;1;0;1;0;0;1;1;1;0;0;0;0;1;0;1;1;1;0;0;0;1;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0
Q55-4A;22.5838;45.2699;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;0;1;0;0;0;0;1;1;1;1;1;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0
Q56-1;22.8888;45.313;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;1;0;1;1;1;1;1;0;1;0;0;1;1;0;1;0;1;1;1;0;1;1;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;0;0;1;0;0;0
Q56-2;22.8888;45.313;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;1;0;1;0;1;1;1;0;1;0;0;1;1;0;1;1;1;1;1;0;1;1;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;0;0;1;0;0;0
Q56-4;22.8888;45.313;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0;0;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;1;1;1;0;0;0;1;1;0;1;0;0;0;1;0;1
Q58-1;23.5155;45.3675;1;1;0;0;1;0;0;1;1;1;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;1;1;1;0;1;0;1;1;0;0;0;1;1;1;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;1;1;1;1;1;1;0;1;0;1;1;0;0;1;1;0;0
Q58-2A;23.5155;45.3675;1;1;0;0;1;0;0;1;1;1;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;1;1;0;0;1;0;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;1;1;1;1;1;1;0;1;0;1;0;0;0;1;1;0;0
Q58-4;23.5155;45.3675;1;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;1;0;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;1;0;1;1;1;0;1;1;0;1;0;1;1;0;0;1;1;0;0
