Cell;longitude;latitude;ACA_CAC_62.0;ACA_CAC_84.0;ACA_CAC_101.0;ACA_CAC_128.0;ACA_CAC_129.0;ACA_CAC_196.0;ACA_CAC_201.0;ACA_CAC_232.0;ACA_CAC_235.0;ACA_CAC_306.0;ACA_CAC_324.0;ACA_CAC_350.0;ACA_CAC_416.0;ACA_CAC_430.0;ACA_CAC_434.0;ACA_CTG_92.0;ACA_CTG_116.0;ACA_CTG_124.0;ACA_CTG_139.0;ACA_CTG_141.0;ACA_CTG_147.0;ACA_CTG_152.0;ACA_CTG_156.0;ACA_CTG_162.0;ACA_CTG_171.0;ACA_CTG_193.0;ACA_CTG_195.0;ACA_CTG_205.0;ACA_CTG_213.0;ACA_CTG_260.0;ACA_CTG_264.0;ACA_CTG_266.0;ACA_CTG_274.0;ACA_CTG_278.0;ACA_CTG_303.0;ACA_CTG_323.0;ACC_CAT_101.0;ACC_CAT_114.0;ACC_CAT_129.0;ACC_CAT_149.0;ACC_CAT_152.0;ACC_CAT_154.0;ACC_CAT_165.0;ACC_CAT_168.0;ACC_CAT_189.0;ACC_CAT_199.0;ACC_CAT_202.0;ACC_CAT_212.0;ACC_CAT_213.0;ACC_CAT_214.0;ACC_CAT_227.0;ACC_CAT_235.0;ACC_CAT_259.0;ACC_CAT_273.0;ACC_CAT_336.0;ACC_CAT_485.0
P61-1;24.6075;45.5979;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0
P61-2;24.6075;45.5979;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0
P61-4;24.6075;45.5979;1;1;1;1;1;1;1;0;1;0;1;1;0;0;0;1;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0
P62-1;24.938;45.495;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
P62-3;24.938;45.495;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0
P62-4;24.938;45.495;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;1;1;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P63-1;25.2215;45.5399;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
P63-3;25.2215;45.5399;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0
P63-4;25.2215;45.5399;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0
P64-1;25.4755;45.4072;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0
P64-2;25.4755;45.4072;1;1;1;1;1;1;1;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0
P64-4;25.4755;45.4072;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0
Q55-1;22.5783;45.2677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q55-3;22.5783;45.2677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Q55-4;22.5783;45.2677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Q56-1;22.8983;45.313;1;1;1;1;1;1;1;0;1;0;1;0;0;1;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Q56-2;22.8983;45.313;1;1;1;1;1;1;1;0;1;0;0;0;1;1;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q56-4;22.8983;45.313;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Q58-1;23.4777;45.3844;1;1;1;1;1;1;1;0;1;0;1;0;0;1;1;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0
Q58-2;23.4777;45.3844;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0
Q58-4;23.4777;45.3844;1;1;1;1;1;1;1;0;1;0;1;0;0;1;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0
