Cell;longitude;latitude;ACA_CAC_53.7;ACA_CAC_60.7;ACA_CAC_72.3;ACA_CAC_79.2;ACA_CAC_88.4;ACA_CAC_104.4;ACA_CAC_110.4;ACA_CAC_113.7;ACA_CAC_116.2;ACA_CAC_117.3;ACA_CAC_126.6;ACA_CAC_138.6;ACA_CAC_141.0;ACA_CAC_143.3;ACA_CAC_170.4;ACA_CAC_185.0;ACA_CAC_225.3;ACA_CAC_298.0;ACA_CAC_306.9;ACA_CAC_318.8;ACA_CAC_336.2;ACA_CAC_344.8;ACA_CAC_346.3;ACA_CAC_355.6;ACA_CAC_379.1;ACA_CAC_387.9;ACA_CAC_398.6;ACA_CAC_428.0;ACA_CAC_431.3;ACA_CAC_455.6;ACA_CAC_459.5;ACA_CAC_466.4;ACA_CAC_472.3;ACA_CAC_477.2;ACC_CAG_69.3;ACC_CAG_76.9;ACC_CAG_84.7;ACC_CAG_92.5;ACC_CAG_94.0;ACC_CAG_99.3;ACC_CAG_106.1;ACC_CAG_111.4;ACC_CAG_125.2;ACC_CAG_133.5;ACC_CAG_135.4;ACC_CAG_164.3;ACC_CAG_204.8;ACC_CAG_207.5;ACC_CAG_236.8;ACC_CAG_263.2;ACC_CAG_266.3;ACC_CAG_284.1;ACC_CAG_392.8;ACC_CAG_421.6;ACC_CAG_474.1;ACC_CAG_497.1;AGG_CTG_56.4;AGG_CTG_65.6;AGG_CTG_73.9;AGG_CTG_75.2;AGG_CTG_77.6;AGG_CTG_94.3;AGG_CTG_99.4;AGG_CTG_112.6;AGG_CTG_127.1;AGG_CTG_140.9;AGG_CTG_142.7;AGG_CTG_157.3;AGG_CTG_168.6;AGG_CTG_185.6;AGG_CTG_201.3;AGG_CTG_220.6;AGG_CTG_231.8;AGG_CTG_255.7;AGG_CTG_271.0;AGG_CTG_280.2;AGG_CTG_307.2;AGG_CTG_334.7;AGG_CTG_346.1;AGG_CTG_358.5;AGG_CTG_378.3;AGG_CTG_392.8;AGG_CTG_441.5;AGG_CTG_483.2
D61-2;24.3334;47.9274;1;0;0;1;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1;1;1;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0
E62-1;24.7288;47.7252;1;0;1;1;0;0;0;1;1;1;1;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;1;1;0;0;0;1;0;0;1;1;1;0;1;1;1;0;1;1;1;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0
E62-2;24.7288;47.7252;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;0;0;1;1;1;0;0;1;0;0;1;1;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1
E62-4;24.7288;47.7252;1;0;1;1;0;0;0;0;0;1;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;1;1;1;0;0;1;0;0;0;1;1;0;1;1;0;0;1;0;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;1;0;0;1;1;0;1;0
F61-1;24.6392;47.596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;1;1;1;0;1;1;1;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0
F61-2;24.6392;47.596;1;1;0;1;0;0;0;1;0;1;1;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;1;1;1;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;1;1;0;1;1;1;0;0;1;0;0;1;0;0;0;1;0;1;1;1;1;0;1;1;0;1;0;0;0;1;1;0;1
F61-4;24.6392;47.596;1;1;0;1;1;0;1;0;0;1;1;1;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0;1;0;0;0;1;0;0;1;1;1;0;1;0;1;1;0;0;0;0;1;0;1;0;1;0;1;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1
F62-1;24.7957;47.5087;1;1;0;1;0;0;1;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0;1;0;1;1;0;1;0;1;0;0;1;0;1;0;1;0;1;0;0;1
F62-2;24.7957;47.5087;1;1;0;1;0;0;1;1;0;1;1;0;0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1;0;1;0;1;0;1;0;0;1
F62-4;24.7957;47.5087;1;1;0;1;1;0;0;1;0;1;1;0;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;1;1;1;1;0;0;1;1;0;0;1;1;1;0;1;1;1;0;1;1;1;0;0;0;0;1;1;0;1;0;1;1;1;1;1;1;0;0;1;0;1;0;1;0;0;0;0;1
F64-1;25.4832;47.4343;1;1;0;1;0;0;1;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;1;1;1;0;1;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;1
F64-2;25.4832;47.4343;1;1;0;1;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;1;1;0;0;0;1;0;0;1;1;1;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;1;0;1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;1
F64-4;25.4832;47.4343;1;1;0;1;1;0;1;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;1;1;0;0;1;0;1;1;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1
H63-1;25.2289;47.1021;1;1;0;1;1;0;1;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;1;1;0;0;1;0;0;1;1;1;0;1;1;0;0;1;1;1;1;1;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;1;0;1;0;0;0;1;0;0;1
H63-2;25.2289;47.1021;1;1;0;1;0;0;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0;1;1;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;1;1;1;1;1;0;1;1;0;1;0;0;0;1;0;0;0
H63-4;25.2289;47.1021;1;1;0;1;1;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;0;1;1;1;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0
I65-1;25.948;46.9752;1;1;0;1;0;0;0;1;0;1;1;1;0;1;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;1;1;0;0;1;0;0;0;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;1;0;0;1;1;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1
I65-2;25.948;46.9752;1;1;0;1;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;1
I65-4;25.948;46.9752;1;1;0;1;1;0;0;1;0;1;1;0;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0
J56-1;22.6667;46.6416;1;1;0;1;1;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0
J56-2;22.6667;46.6416;1;0;0;1;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0
J56-4;22.6667;46.6416;1;1;0;1;0;0;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;0;0;0;0;1;0;0;1;1;1;0;1;1;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0
L66-1;26.3237;46.256;1;1;0;1;0;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;1;1;1;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0
L66-2;26.3237;46.256;1;1;0;1;0;0;1;1;0;1;1;0;1;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;1;1;1;0;0;0;0;1;0;1;1;1;0;0;1;0;0;1;1;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1;1;0;1;1;1;1;0;1;1;1;0;0;0;1;0;0;1
L66-4A;26.3237;46.256;1;1;0;1;0;0;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;1;1;0;0;0;1;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;0;1
O62-1;24.8044;45.63;1;1;0;1;0;0;1;1;0;0;1;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;0;0;1;0;1;0;0;0;1;0;0;0
O62-2A;24.8044;45.63;1;1;0;1;1;0;0;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;1;1;0;1;0;0;0;1;1;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;1;0;1;1;0;1;0;0;0;1;0;0;0
O62-3;24.8044;45.63;1;1;0;1;0;0;1;1;0;0;1;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;0;1;0;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;1;0;1;0;0;0;1;0;0;0
P58-1;23.5041;45.5794;1;1;0;1;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;1;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;1;1;0;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0
P58-2;23.5041;45.5794;1;0;0;1;0;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0
P58-4;23.5041;45.5794;1;1;0;1;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;1;1;1;1;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;1;1;1;1;0;0;0;0;1;0;0
P59-1;23.7986;45.5858;1;1;0;1;1;0;1;1;0;1;1;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0
P59-2;23.7986;45.5858;1;1;0;1;1;0;1;1;0;1;1;0;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;1;0;1;1;1;0;1;1;1;1;0;0;0;1;1;0;0
P59-4;23.7986;45.5858;1;1;0;1;1;0;1;1;0;1;1;0;1;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;1;0;0;0;0;0;1;0;1;0;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0
