    prob  log10(PO)   qval  alpha  fst
97  1.0000 1000.0 0.0000 -0.32227 0.15277 
98  0.22222 -0.54407 0.40143 -0.010063 0.18601 
99  0.0000 -1000.0 0.80604 0.0000 0.18554 
100  0.11111 -0.90309 0.64903 -0.0074986 0.18468 
101  0.0000 -1000.0 0.80604 0.0000 0.18554 
102  0.0000 -1000.0 0.80604 0.0000 0.18554 
103  0.11111 -0.90309 0.64903 -0.027662 0.18208 
104  0.11111 -0.90309 0.64903 0.030529 0.18923 
105  0.0000 -1000.0 0.80604 0.0000 0.18554 
106  0.22222 -0.54407 0.40143 0.17884 0.21013 
107  0.0000 -1000.0 0.80604 0.0000 0.18554 
108  0.0000 -1000.0 0.80604 0.0000 0.18554 
109  0.0000 -1000.0 0.80604 0.0000 0.18554 
110  0.11111 -0.90309 0.64903 0.060247 0.19439 
111  0.0000 -1000.0 0.80604 0.0000 0.18554 
112  0.11111 -0.90309 0.64903 -0.0082443 0.18455 
113  0.11111 -0.90309 0.64903 0.00027053 0.18558 
114  0.11111 -0.90309 0.64903 0.016324 0.18777 
